Matalan selvityksen tiedot,seuraava määränpää,nopeusrajoitus,varoitus tien varresta
Oikeanpuoleinen kaista - ei raskasajoneuvojen ohitusta,ei raskasajoneuvoja tämän pisteen ulkopuolella,oikeanpuoleinen kaista päättyy,raskasvaunun akseliraja
Suurin nopeusrajoitus,vähimmäisnopeusrajoitus,30km n venytys eteenpäin,ei pysäköintimahdollisuutta 30km n kohdalla
Suurin nopeusrajoitus,vähimmäisnopeusrajoitus,120km n venytys eteenpäin,pysäköinti kielletty 120km lle
Ei jalankulkijoita pääsemään eteenpäin,ohittaa edeltävät jalankulkijat,jalankulkijoilla ei ole oikeuksia edessä,ei jalankulkijoita ole edessä
Ei pääsyä ajoneuvoihin,joissa akselien lukumäärä on suurempi,ei akseleita,joiden akselimäärä on pienempi,edessä on kolminkertainen este,edessä on kolme tarkastuspistettä
Ei pääsyä,vain peruutuskaista,ei tien kaltevuutta,ei yksisuuntaista järjestelmää edessä
Ei vasenta käännöstä,ei pysäköintiä vasemmalla puolella,ei sisäänkäyntejä vasemmalla puolella,älä tarkkaile tien vasenta reunaa
Ei ohitusta,yksikaista päättyy,ei pyöräilyä,ei pieniä ajoneuvoja sallittu
Ei oikeaa käännöstä,ei pysäköintiä oikealla puolella,ei sisäänkäyntejä oikealla puolella,älä tarkkaile tien oikeaa reunaa
Ei käännöstä,ei oikeaa käännöstä eteenpäin,tien suunta ei muutu,liikenne ei virtaa oikealle
Pysäköinti sallittu tiettyinä aikoina,ei pysäköintiä määrättyinä aikoina,pysäköinti käytettävissä vasemmalle ja oikealle,pysäköinti kielletty
Pysäköinti kielletty,pysäköi vain tien vasemmalla ja oikealla puolella,älä pysäköi vasemmalla ja oikealla puolella,pysäköinti sallittu lueteltujen aikojen aikana
Kävelykatu,ei sisäänkäyntiä - Yksityinen omaisuus,Toiminta-alue määrättyinä aikoina,Pysäköinti sallittu määrätyinä aikoina
Koulun vartijat valvovat liikennevirtaa,jalankulkijoiden on pysähdyttävä liikenteelle,lopetettava laitoshoidon opetus,lopetettava hidastuminen jalankulkijoille
Polkupyörän alku,pyörärata eteenpäin,polkupyörät kulkevat liikennesuunnassa,polkupyörän seuranta sallittu
Pysäytä,tuotto,jalankulkijoiden on lopetettava,mielenosoittajien pysäkki
Vain taksit,pysäköinti vain,taksit sallitaan vain vasemmalle ja oikealle,taksit eivät ole sallittuja vasemmalle ja oikealle,taksien on kiertettävä ympäri
Raitiovaunukaista oikealla,raitiovaunu lähestyy oikealta,raitiovaunut voivat ohittaa,vain raitiovaunut
Vain raitiovaunukatu,vain autokatu,eteenpäin yksityisomaisuus,vain jalankulkijoiden katu
Painorajoitukset edessä,vähimmäispaino sallittu,akseliraja,vähimmäisakseli sallittu
Tuotto eteenpäin,kenttä eteenpäin,muiden on tuotettava eteenpäin,allekirjoita paikkamerkki - jatka varovasti
Tuotto eteenpäin - irlantilainen,kenttä eteenpäin - irlantilainen,muiden on tuotettava etukäteen - irlantilainen,Kyltin paikkahenkilö - Jatka varovaisuutta - irlantilainen
Vyöhykerajoitus,pysäköinti kielletty tai raskasajoneuvot,vain raskasajoneuvot,vähimmäisakselivaatimus,pysäköinti sallittu vain suurille ajoneuvoille
Edistynyt suunta paikallisiin palveluihin,ennakoiviin paikallisiin palveluihin,alueellisiin tietoihin,luvattomiin aktiviteetteihin
Edistynyttä tietoa lomailijoille ja matkailulle,tietoa pysäköinnistä edessä,Tourism Park Ahead,Tourism Press Conference Ahead
Youth Hostel Ahead,Adoption Agency Ahead,Youth Hotel Ahead,Village Information
Pysäköintiohjeet jalankulkijoille,tiedot jalankulkijoiden pysäköinnistä,tiedot jalankulkijoiden lehdistötilaisuuksista,jalankulkijoiden sallittu alue
Museo-ohjeet jalankulkijoille,vapaamuurarien rakennusohjeet,ostoskeskuksen ohjeet,jalankulkijoiden museon ohjeet
Matkailuneuvonnan suunta,tietoa matkailijoiden suunnasta,turistien kiertotie,alue matkailijoille tietojen jakamiseksi
Alueen matkailutiedot,turistileirin nimi,kirjautumiskieli,Tourist One Way -järjestelmä
Matkailukohteiden suunta,eläinlajien yksisuuntainen järjestelmä,linnut vain tämän pisteen ulkopuolella,matkailijoiden työpaikkojen ohjeet
Hevoset ja ponit,ihmisten on oltava hevosten mukana,hevosten on oltava hevosten mukana,vaaralliset lajit edessä
Nautat ja maatilan eläimet edessä,varo karjaa,alue,joka tunnetaan kuolettavista nautakarjoista,varo villi villi Bertha
Sivutuulet edessä,myydyt kalastusverkot,kuplien puhallus sallittu,keskeneräinen merkki - jatka varoen
Hirvet ja villieläimet edessä,varo luonnonvaraisia ​​peuroja,tappavien peurojen tiedossa oleva alue,Deer Society Zone
Aja vasemmalla olevalla tietomerkillä,vain vasemmanpuoleisella ohjauksella varustetut autot,kaksi kaistaa - Käytä vasenta kaistaa,jos tarpeellista,vasenta kaistaa,ellei ohitusta
Juna kulkee eteenpäin valojen ja esteiden kanssa,rautatieasema edessä,vain junien alue,liikennevalot koskevat vain junia
Matala lentävä lentokone,vain lentokoneiden tie,varo lentokoneita!,Ilmavoimien muistomerkki edessä
Sähkökaapelit,Nikola Tesla -museo eteenpäin,Vain sähköasentajien alue,alue,joka tunnetaan ulkomaalaisten salamaniskusta - jatka varoen
Kävelytie eteenpäin,Vain jalankulkijoille tarkoitettu alue,Juoksurata eteenpäin,Kävelijät eteenpäin - edetä varoen
Jyrkkä upotus tien eteen,asteroidikraatteri eteenpäin,Skate Parkin puoliputki eteenpäin,vesijohto eteenpäin
Jyrkkä nousu eteenpäin,leipä leipomo eteenpäin,dermatologi eteenpäin,mutkikkaat tiet eteenpäin
Liukas tie edessä,ajelehtiva sallittu alue eteenpäin,haureet kuljettajat eteenpäin - edetä varoen,Perma-Ice-tiet edessä
Jyrkkä lasku eteenpäin,jarrujen testausalue eteenpäin,moottorin temppu ramppi eteenpäin,vain käsijarrun alue
Liikennevalot eteenpäin,Vedä nauhat eteenpäin,Simon sanoo vyöhykkeen eteenpäin,Ilman lämpötilan näyttö
Tunneli eteenpäin,palatsin sisäänkäynti eteenpäin,sisäänkäynti tyhjälle edelle,arkun valmistusalue eteenpäin
Suojaamaton kanava tai joki edessä,ajoneuvojen polkumyynti eteenpäin,vain amfibioajoneuvot,vain tämän pisteen takana olevat ajoneuvot
Ohjattu liikenne,vain vasen käännös,ei oikeaa käännöstä,huomioi tien vasen puoli
Lippumies eteenpäin,maksullinen mies eteenpäin,kauhat vain tämän pisteen takana,pysyvä tien työntekijä eteenpäin
tonainen siru,tie voi aiheuttaa renkaan räjähdyksiä,alue,joka tunnetaan pikkukivinä,vain pienille ajoneuvoille
Jonot todennäköisesti,3 ajoneuvoa enintään ohitettaessa,puhaltaa sarvea kolmen ajoneuvon takana,riittävän kaista kolmelle ajoneuvolle
Tienrakennukset eteenpäin,lapio myyjä eteenpäin,neliötanssi ja linja tanssia eteenpäin,tien työntekijät ovat vasenkätisiä
Sivuston käyttö vasemmalla,tien työntekijät ovat oikeakätisiä,neliötansseja ja linjatansseja eteenpäin,tietöitä eteenpäin
Epätasainen pinta,turha tienpinta edessä,suo maa edessä,amfibioajoneuvot suositellaan eteenpäin
Vaarallinen mutka eteenpäin,matkustajat nojaavat vasemmalle,tuulet puhaltavat vasemmalle,liberaalivyöhyke vasemmalle
Vaarallinen kulma eteenpäin,terävät vasemmat kääntyvät vain,äärimmäiset liberaalit vasemmalle,valmistaudu kovaan vasempaan
Liikenteen yhdistäminen,puiden oksat edessä,vakava jyrkkä vasen kääntyminen eteenpäin,kvantti-käänteinen alue eteenpäin
Mini edestakaisin liikenneympyrää, edestakaisin oleva liikenneympyrä on valinnainen, myydään täällä myötäpäivään kehräyskuivaimia, valmistaudu äärettömään oikeaan käännökseen
Rajoitettu päähuone,vähimmäiskorkeusvyöhyke,varoitus veden tulvista,muuntotiedot jalasta metriin
Edessä oleva liikenneympyrä,eteenpäin pyörrealttiit alueet,myydään täällä myötäpäivään olevat kuivausrummut,WC-vesi virtaa myötäpäivään
Sarja vaarallisia taivutuksia eteenpäin,spagettitiet edessä,ajautuva kaistale eteen,vasemmalle ja oikealle kääntyy eteenpäin
Sarja vaarallisia kulmia edessä,sähköinen tie edessä,terävä vasen ja oikea käänny eteenpäin,terävä spagettitie eteenpäin
Kaksisuuntainen liikenne,palaat oikealla tiellä,eteenpäin ja taaksepäin tuulet eteenpäin,kvanttisuuntaiset tiet edessä
